Dept,Number,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
CME,494,Undergrad Sr Design I,13,0,0,0,0,0,0,0,0,0,Schulenberg
CME,494,Undergrad Thesis I,13,0,0,0,0,0,0,0,0,0,Schulenberg
CME,494,Transport & Infra Systems,14,6,0,0,0,0,0,0,0,0,Zou
CME,508,Urban Travel Forecasting,22,4,0,0,0,0,0,0,0,0,Mohammadian
CME,518,Pollution Prevention,12,10,1,0,0,0,0,0,0,0,Khodadoust
CME,519,Structural Steel Systems,9,8,4,0,0,0,0,0,0,0,Mahamid
CME,533,Fracture & Failure II,5,2,3,0,0,0,0,0,0,0,Chudnovsky
CME,594,Construction Engrng Proj Ctrl,21,6,0,0,0,0,0,0,0,0,Ataei
CME,594,Transportation Proj Appraisal,11,0,0,0,0,0,0,0,0,0,Mohammadian
CME,594,Characteristics of Materials,15,3,0,0,0,0,0,0,0,0,Ozevin
CS,100,Discovering Computer Science,39,24,12,3,5,0,0,0,0,11,Reed
CS,107,Intro Comp & Programming,34,27,32,10,2,0,1,0,0,8,Theys
CS,109,C/C++ Programming,55,49,52,32,22,4,0,0,0,16,Hummel
CS,110,MATLAB for Engineers,10,4,2,3,4,0,0,0,0,1,Hummel
CS,111,Program Design I,21,26,8,8,3,3,3,0,0,15,Sloan
CS,111,Program Design I,98,53,24,11,17,0,0,0,0,6,Taylor
CS,141,Program Design II,51,53,35,14,9,0,0,0,0,23,Reed
CS,151,Foundations of Computing,105,54,36,15,13,1,0,0,0,12,Bello Lander
CS,211,Programming Practicum,110,52,31,10,10,9,0,0,0,11,Troy
CS,251,Data Structures,0,0,0,0,0,0,199,0,0,24,Lillis
CS,261,Machine Organization,55,63,43,17,9,0,0,0,0,32,Theys
CS,301,Languages and Automata,109,39,12,0,2,1,0,0,0,8,DasGupta
CS,341,Programming Language Concepts,46,46,15,3,5,0,0,0,0,0,Hummel
CS,342,Software Design,50,45,44,8,6,1,0,0,0,12,Troy
CS,361,Computer Systems,41,41,8,5,6,1,0,0,0,9,Bell
CS,362,Computer Design,43,27,29,8,5,0,1,0,0,1,Taylor
CS,377,Communication and Ethics,0,0,0,0,0,0,109,0,0,0,Burton
CS,385,Operating Systems,3,2,2,0,2,0,0,0,0,3,Eriksson
CS,411,Artificial Intelligence I,34,28,6,6,0,1,1,0,0,2,Gmytrasiewicz
CS,412,Intro to Machine Learning,30,30,0,0,0,0,0,0,0,5,Zhang
CS,425,Computer Graphics I,0,4,4,6,5,1,0,0,0,3,Kenyon
CS,426,Video Game Design,22,10,3,0,1,1,0,0,0,0,Marai
CS,440,Software Engr I,43,27,9,4,0,1,0,0,0,0,Bell
CS,441,Cloud Computing Objects,14,27,9,4,0,0,0,0,0,6,Grechanik
CS,450,Intro to Networking,14,14,25,0,0,1,0,0,0,1,Vamanan
CS,466,Adv Computer Architecture,3,5,3,0,0,0,0,0,0,1,Zhu
CS,474,Obj-Oriented Langs & Envs,18,29,12,2,0,0,0,0,0,11,Grechanik
